2679.04125528,2293.14574157,5258517.39206,526.491407957,metal
6605.33358653,5504.81661842,30303006.0024,1803.8055908,metal
2831.93301597,2639.80472956,6968569.01023,883.50351644,metal
7026.01514651,5891.20723112,34706322.64,1258.93030745,metal
3530.19857701,2877.764225,8281526.93467,510.330835614,metal
4177.2015013,3435.00981227,11799292.4104,850.194073304,metal
6811.17415572,5232.89357317,27383175.1482,619.135226427,metal
6748.42924401,5872.10981875,34481673.7234,2140.89573851,metal
4775.65253525,4227.38163656,17870755.5012,1165.00579922,metal
4005.99194775,4072.5688824,16585817.3019,1446.03303692,metal
3321.86497621,3181.2138834,10120121.772,997.631371113,classical
1618.4907925,1329.71521788,1768142.56065,401.19275436,classical
597.888917482,712.458797964,507597.538797,328.266775991,classical
1243.71570608,1444.83412561,2087545.65053,695.934537506,classical
2235.1071007,2006.47643861,4025947.6987,655.125058253,classical
248.506366259,244.441106568,59751.4545802,99.7692770075,classical
1003.06574352,1742.04101012,3034706.88095,1122.10779727,classical
3298.8504305,4544.38230705,20651410.5526,2811.78488518,classical
1019.68449097,1157.27257386,1339279.81022,494.485432657,classical
2114.50741927,2254.16311409,5081251.34494,1046.34452106,classical
